Cod_setor,Situacao_setor,V001,V060,V061,maioria
250157505000007,8,123,6,14,Homens
250157505000008,8,218,16,10,Homens
250157505000009,8,116,9,12,Homens
250157505000010,8,114,8,10,Homens
250157505000011,8,182,8,15,Homens
250157505000012,8,152,9,6,Homens
250157505000013,5,164,19,8,Mulheres
250157505000014,5,155,23,7,Mulheres
250157505000015,4,43,X,X,Mulheres
250157505000016,5,58,9,5,Homens
250157505000017,5,72,5,2,Homens
250157505000018,5,2,X,X,Mulheres
250160905000001,1,203,43,18,Homens
250160905000002,1,133,19,13,Homens
250160905000003,1,181,35,18,Homens
250160905000004,1,249,36,11,Homens
250160905000005,1,188,23,10,Homens
250160905000006,1,143,16,6,Mulheres
250160905000007,1,264,31,15,Homens
250160905000008,1,184,32,10,Homens
250160905000009,8,138,2,9,Mulheres
250160905000010,8,287,20,19,Homens
250160905000011,8,298,19,25,Mulheres
250160905000012,8,196,8,22,Homens
250160905000013,8,100,5,13,Homens
250160905000014,8,224,8,17,Homens
250160905000015,8,144,4,16,Homens
250160905000016,8,184,5,11,Homens
250160905000017,5,68,1,3,Mulheres
250160905000018,5,32,0,0,Mulheres
250160905000019,1,207,25,16,Homens
250160905000020,1,150,13,7,Mulheres
250160905000021,1,66,4,3,Homens
250160905000022,1,179,22,13,Homens
250160905000023,1,193,22,15,Homens
250160905000024,1,87,10,6,Mulheres
250160905000025,1,101,14,4,Mulheres
250170805000001,1,150,24,8,Mulheres
250170805000002,1,164,19,20,Mulheres
250170805000003,8,122,14,14,Mulheres
250170805000004,8,124,5,15,Homens
250170805000005,8,141,9,17,Homens
250170805000006,8,263,12,30,Mulheres
250170805000007,5,54,2,6,Mulheres
250170805000008,5,198,7,17,Homens
250170805000009,1,169,26,18,Homens
250170805000010,1,250,27,25,Homens
250180705000001,1,65,7,0,Homens
250180705000002,1,282,30,12,Homens
250180705000003,1,183,20,11,Homens
250180705000004,1,226,24,17,Homens
250180705000005,1,216,27,14,Homens
250180705000006,1,291,40,17,Homens
250180705000007,1,220,24,8,Mulheres
250180705000008,1,150,16,7,Mulheres
250180705000009,1,255,23,20,Homens
250180705000010,1,307,16,11,Homens
250180705000011,1,215,22,24,Mulheres
250180705000012,1,419,29,14,Homens
250180705000013,1,370,37,17,Homens
250180705000014,1,241,28,14,Homens
250180705000015,1,322,34,10,Homens
250180705000016,1,240,21,18,Homens
250180705000017,1,318,19,29,Mulheres
250180705000018,1,316,21,8,Mulheres
250180705000019,1,312,23,14,Homens
250180705000020,1,150,17,11,Homens
250180705000021,1,201,25,10,Homens
250180705000022,1,354,34,15,Homens
250180705000023,1,232,31,15,Homens
250180705000024,1,289,38,17,Homens
250180705000025,1,340,39,21,Homens
250180705000026,1,260,29,12,Homens
250180705000027,1,226,25,9,Mulheres
250180705000028,1,358,21,11,Homens
250180705000029,1,280,29,15,Homens
250180705000030,1,326,28,19,Homens
250180705000031,1,333,28,19,Homens
250180705000032,1,303,29,30,Mulheres
250180705000033,1,232,17,20,Mulheres
250180705000034,1,374,34,21,Homens
250180705000035,1,179,10,6,Mulheres
250180705000036,1,302,32,16,Homens
250180705000037,1,71,8,2,Homens
250180705000038,1,186,22,9,Mulheres
250180705000039,1,202,23,13,Homens
250180705000040,1,99,7,4,Homens
250180705000041,1,318,41,18,Homens
250180705000042,1,250,15,2,Mulheres
250180705000043,1,183,9,11,Homens
250180705000044,1,212,14,9,Mulheres
250180705000045,1,252,23,14,Homens
250180705000046,1,248,13,14,Mulheres
250180705000047,1,294,28,11,Homens
250180705000048,1,66,3,4,Mulheres
250180705000049,1,350,22,8,Mulheres
250180705000050,1,207,18,9,Mulheres
250180705000051,1,233,22,6,Mulheres
250180705000052,1,194,18,3,Mulheres
250180705000053,1,273,23,7,Mulheres
250180705000054,1,208,22,3,Mulheres
250180705000055,1,235,14,21,Mulheres
250180705000056,1,259,24,12,Homens
250180705000057,1,166,20,6,Mulheres
250180705000058,1,273,34,11,Homens
250180705000059,1,301,26,10,Homens
250180705000060,1,255,29,13,Homens
250180705000061,1,287,38,19,Homens
250180705000062,1,280,28,12,Homens
250180705000063,1,169,12,8,Mulheres
250180705000065,1,186,17,6,Mulheres
250180705000066,1,216,21,20,Homens
250180705000067,1,193,29,8,Mulheres
250180705000068,1,301,31,17,Homens
250180705000069,1,230,18,10,Homens
250180705000070,1,329,27,16,Homens
250180705000071,1,316,35,17,Homens
250180705000072,1,251,21,11,Homens
250180705000073,1,194,20,8,Mulheres
250180705000074,1,247,27,9,Mulheres
250180705000075,1,136,16,7,Mulheres
250180705000076,1,86,7,5,Homens
250180705000077,1,162,13,8,Mulheres
250180705000078,1,190,18,14,Homens
250180705000079,1,233,20,25,Mulheres
250180705000080,1,179,5,15,Homens
250180705000081,1,12,3,0,Homens
250180705000082,1,148,24,12,Homens
250180705000083,1,7,0,1,Mulheres
250180705000085,1,208,31,21,Homens
250180705000086,1,78,6,8,Mulheres
250180705000087,1,55,4,2,Homens
250180705000088,1,161,7,6,Homens
250180705000089,1,227,27,3,Mulheres
250180705000091,1,176,23,8,Mulheres
250180705000092,8,249,9,9,Mulheres
250180705000094,1,180,16,17,Mulheres
250180705000095,1,117,8,6,Homens
250180705000096,1,126,11,4,Mulheres
250180705000097,1,103,14,2,Mulheres
250180705000098,1,266,19,13,Homens
250180705000099,1,202,15,16,Mulheres
250180705000100,1,162,15,10,Homens
250180705000101,1,227,22,9,Mulheres
250180705000102,1,246,15,12,Homens
250180705000103,1,205,16,6,Mulheres
250180705000104,1,180,7,7,Mulheres
250180705000105,1,49,0,0,Mulheres
250180705000106,1,199,6,6,Mulheres
250180705000107,1,266,9,5,Homens
250180705000108,1,161,9,4,Homens
250180705000109,1,184,16,12,Homens
250180705000110,1,203,11,7,Mulheres
250180705000111,1,158,12,8,Mulheres
250180705000112,1,188,11,3,Mulheres
250180705000113,1,139,5,4,Homens
250180705000114,1,141,13,5,Mulheres
250180705000115,1,201,15,4,Mulheres
250180705000116,1,157,17,11,Homens
250180705000117,1,155,13,19,Mulheres
250180705000118,1,87,9,12,Homens
250180705000119,1,193,13,11,Homens
250180705000120,1,321,15,17,Mulheres
250180705000121,1,342,21,19,Homens
250180705000122,1,210,11,10,Homens
250180705000123,1,213,14,15,Mulheres
250180705000124,1,162,11,11,Mulheres
250180705000125,1,163,13,9,Mulheres
250180705000126,1,326,26,16,Homens
250180705000127,1,251,12,10,Homens
250180705000128,1,573,37,28,Homens
250180705000129,1,200,14,8,Mulheres
250180705000130,1,37,1,1,Mulheres
250180705000131,1,8,0,1,Mulheres
250180705000132,1,90,8,3,Homens
250180705000133,1,75,7,4,Homens
250180705000134,1,13,1,1,Mulheres
250190605000001,1,224,28,10,Homens
250190605000002,1,239,31,23,Homens
250190605000003,1,313,53,18,Homens
250190605000004,1,220,25,11,Homens
250190605000005,1,183,20,4,Mulheres
250190605000006,1,299,44,17,Homens
250190605000007,1,266,35,15,Homens
250190605000008,1,273,29,22,Homens
250190605000009,1,277,37,19,Homens
250190605000010,1,269,24,28,Mulheres
250190605000011,1,162,15,16,Mulheres
250190605000012,1,352,44,26,Homens
250190605000013,1,303,35,23,Homens
250190605000014,8,171,6,10,Homens
250190605000015,8,72,3,1,Homens
250190605000016,8,82,3,8,Mulheres
250190605000017,8,196,10,13,Mulheres
250190605000018,1,124,14,7,Mulheres
250190605000019,1,207,32,6,Mulheres
250190605000020,1,132,10,15,Mulheres
250190610000001,1,272,24,30,Mulheres
250190610000002,8,201,9,25,Homens
250190610000003,8,79,7,5,Homens
250190610000004,1,264,24,21,Homens
250200305000001,1,297,33,16,Homens
250200305000002,1,185,24,18,Homens
250200305000003,1,197,18,8,Mulheres
250200305000004,1,243,24,13,Homens
250200305000005,8,20,0,2,Mulheres
